Measuring station manager,Measuring station,Processor,Processing date,Subject,Phase,repetition no.,Neck girth,Back neck point to waist,Upper arm girth R,Upper arm girth L,Back neck point to wrist R,Back neck point to wrist L,Across back shoulder width,Bust girth,Waist girth,Hip girth,Thigh girth R,Thigh girth L,Total crotch length,Inside leg height,Gendre
SizeStream,SS20,SizeStream,20200622,IEEEP1_05,1,1,347.345,417.068,330.454,307.086,738.378,734.06,375.412,922.782,874.268,1067.054,646.684,635.254,759.333,727.837,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_05,1,2,343.789,413.131,330.454,315.722,736.219,728.726,380.619,919.734,880.618,1073.277,646.049,632.206,780.034,725.932,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_12,1,1,291.846,369.824,259.969,263.906,744.855,748.665,364.236,795.02,683.514,965.835,525.78,518.414,714.375,722.884,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_12,1,2,293.751,374.015,256.794,268.224,744.601,753.872,367.538,801.878,690.88,966.343,524.637,518.541,710.565,719.328,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_13,1,1,339.09,432.308,291.211,289.306,768.858,763.524,393.319,898.144,781.558,1055.243,587.502,578.104,698.627,752.348,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_13,1,2,342.646,440.69,294.513,291.846,767.461,763.778,387.223,896.366,799.465,1056.894,579.882,573.405,681.355,743.839,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_14,1,1,369.062,414.274,312.674,316.103,800.1,790.956,419.354,1095.502,992.251,1065.022,655.574,645.922,785.368,768.477,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_14,1,2,359.791,418.338,307.594,320.675,801.624,800.1,418.973,1110.234,986.79,1060.45,655.574,645.795,772.033,765.81,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_15,1,1,400.05,432.181,339.852,348.615,826.008,814.451,438.404,1013.841,995.553,1066.165,606.425,610.489,863.473,756.539,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_15,1,2,415.163,426.5295,354.33,345.059,821.1185,808.228,430.784,1014.349,995.68,1042.924,596.646,598.297,858.8375,746.887,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_17,1,1,431.038,566.293,335.026,356.616,866.267,857.504,453.517,1160.145,1046.734,1108.837,643.128,628.142,666.496,780.034,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_17,1,2,430.784,538.734,333.756,357.124,840.232,824.865,432.181,1137.031,1048.766,1104.392,641.096,630.936,739.394,777.748,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_18,1,1,390.398,429.514,319.405,315.722,726.948,739.648,375.666,934.212,878.459,1014.603,573.405,559.816,818.007,683.641,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_18,1,2,399.288,427.99,327.66,319.278,727.71,742.442,369.824,948.309,877.316,1012.444,576.326,561.34,812.292,687.578,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_19,1,1,315.214,412.242,271.653,273.304,791.464,784.098,381.254,890.27,783.844,957.834,546.481,537.337,695.198,834.39,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_19,1,2,316.738,409.448,275.336,272.542,792.48,792.734,388.112,898.144,791.972,966.343,546.989,538.988,702.945,827.913,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_20,1,1,404.876,485.394,307.086,313.944,829.056,829.691,415.163,1001.268,946.404,1038.86,567.055,586.105,713.486,843.661,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_20,1,2,409.702,485.648,311.912,316.738,824.23,827.532,423.545,1009.142,945.896,1035.05,565.404,586.867,726.059,837.565,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_21,1,1,425.196,434.848,376.174,401.955,793.496,781.431,419.354,1400.81,1247.648,1328.293,749.554,734.568,893.191,786.511,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_21,1,2,427.736,440.309,379.73,394.843,788.797,780.796,426.72,1398.27,1242.568,1328.039,767.207,741.807,874.522,794.004,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_22,1,1,397.637,435.864,339.852,342.773,806.831,826.262,416.052,1029.208,920.242,1073.023,599.821,592.455,791.083,739.394,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_22,1,2,394.97,440.182,338.582,350.012,808.736,820.928,417.83,1039.114,922.909,1078.484,608.33,599.313,777.24,745.109,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_23,1,1,312.928,345.186,264.033,265.049,729.742,732.409,353.187,841.883,732.917,952.754,548.005,532.257,721.106,701.548,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_23,1,2,315.722,360.807,264.414,262.89,734.568,733.171,355.219,851.535,728.98,947.166,541.909,525.018,695.833,696.468,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_24,1,1,329.946,401.32,299.974,307.34,734.06,729.234,370.713,863.092,787.654,1037.59,608.076,592.328,762.254,720.217,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_24,1,2,331.978,398.526,300.482,305.562,728.98,725.424,364.49,858.647,790.702,1036.447,608.076,593.217,774.7,721.233,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_25,1,1,424.688,445.262,347.472,364.744,854.71,862.584,457.962,1081.151,949.071,1055.497,665.48,672.719,785.876,843.534,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_25,1,2,429.641,453.136,346.964,366.522,861.568,869.442,461.01,1086.104,948.69,1071.88,668.02,674.624,775.081,846.709,Male
SizeStream,SS20,SizeStream,20200622,IEEEP1_27,1,1,421.386,401.447,440.436,446.278,796.29,793.496,403.352,1145.54,1152.906,1392.428,757.682,748.284,1000.379,697.23,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_27,1,2,424.307,402.082,438.404,449.834,801.37,798.703,422.656,1169.035,1140.079,1383.411,760.095,750.697,955.294,697.357,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_28,1,1,298.704,412.369,269.24,282.956,739.902,755.777,379.095,864.743,692.785,965.073,546.608,557.276,668.528,750.824,Female
SizeStream,SS20,SizeStream,20200622,IEEEP1_28,1,2,300.228,413.131,274.574,282.448,735.965,752.348,371.856,869.315,693.293,963.295,552.196,556.895,664.464,750.062,Female
